"","annee","transport_frais_par_tete","transport_freq","transport_cout","transport_sum_claim","transport_nb_observation"
"1",2006,1.99671607804294,0.0166013527014217,120.274300170248,1211,355
"2",2007,2.03478116790792,0.032864661610007,61.9139546316932,2516,404
"3",2008,2.63267380184499,0.0187887232149552,140.119888495109,1515,400
"4",2009,2.51832053859638,0.0173078283293315,145.501820949345,1434,454
"5",2010,2.42706820798699,0.0148619552998114,163.30746251254,1248,467
"6",2011,2.49443808542898,0.0145111350134214,171.898206661427,1205,489
"7",2012,2.59781905417318,0.018352105279492,141.554280264302,1648,459
"8",2013,1.38497686320581,0.00881519425475103,157.112460960161,497,177
