"","annee","optique_frais_par_tete","optique_freq","optique_cout","optique_sum_claim","optique_nb_observation"
"1",2006,21.6906981387093,0.100091923971656,216.707774993431,7301,5734
"2",2007,24.2810248397802,0.109369164540821,222.009786229258,8373,6550
"3",2008,26.8019087712523,0.117124754441536,228.832144827513,9444,7274
"4",2009,28.8174157832054,0.129316979855392,222.843247773265,10714,8120
"5",2010,33.0197706720813,0.136761019086659,241.441390921182,11484,8747
"6",2011,25.6114395752948,0.102861570066937,248.989389901672,8541,6413
"7",2012,16.995713118711,0.0633971695122255,268.083153387999,5693,3670
"8",2013,9.33390358859377,0.0346392749885964,269.460131358597,1953,1332
