"","annee","kine_frais_par_tete","kine_freq","kine_cout","kine_sum_claim","kine_nb_observation"
"1",2006,10.6928449194707,0.320253532483849,33.388686883602,34156,3406
"2",2007,12.3735686792659,0.346418928195506,35.7185121024413,37848,3789
"3",2008,11.9271471164821,0.337124034683647,35.3791064694464,39813,4037
"4",2009,12.2317935829083,0.324896248841613,37.6483065794682,40318,4362
"5",2010,13.9238854388168,0.34340477688003,40.5465688780478,42587,4444
"6",2011,14.1555065089107,0.329659760349457,42.9397464037014,41130,4332
"7",2012,17.0352198407314,0.345546309138542,49.2993830065809,44845,4718
"8",2013,6.87840847768773,0.126619662315113,54.3233835245092,15606,2132
