"","annee","petit_frais_par_tete","petit_freq","petit_cout","petit_sum_claim","petit_nb_observation"
"1",2006,101.776094031316,4.09121471838547,24.8767422481996,298399,27057
"2",2007,119.63105124658,1.75589422755857,68.1311262198964,134404,30893
"3",2008,125.281048312572,3.08303992442098,40.6355582100029,248552,32946
"4",2009,133.032449372423,1.72512815292139,77.1145315477818,142901,34035
"5",2010,137.567530702542,1.70083664976595,80.8822709232378,142808,33768
"6",2011,144.591867172274,1.69941587566841,85.0832743429587,141091,33167
"7",2012,161.783175551003,1.94311005764438,83.259913618651,174464,35049
"8",2013,96.3746112494453,1.05411850667432,91.4267329899192,59430,17732
