"","annee","bilan_frais_par_tete","bilan_freq","bilan_cout","bilan_sum_claim","bilan_nb_observation"
"1",2006,9.30927504092992,0.0309880548315112,300.414953166517,3305,3251
"2",2007,9.47183209268109,0.0283559412012375,334.03342267714,3098,3049
"3",2008,11.6444684721012,0.0325661738556114,357.563296312587,3846,3776
"4",2009,11.5864655826326,0.0327080210801141,354.239272203385,4059,3945
"5",2010,14.2203445661519,0.0355605012337317,399.891567126249,4410,4284
"6",2011,15.1661920159995,0.0372386043939309,407.270687579023,4646,4506
"7",2012,16.6061147917695,0.0387656033287101,428.372406614162,5031,4735
"8",2013,8.21063894022499,0.0175576668749138,467.638382634783,2164,2087
