"","annee","lentilles_frais_par_tete","lentilles_freq","lentilles_cout","lentilles_sum_claim","lentilles_nb_observation"
"1",2006,7.40050937758116,0.0572898464312039,129.176631437964,4179,5489
"2",2007,9.38436749677529,0.0779321097835703,120.417213428934,5966,8570
"3",2008,10.9899452766871,0.0857726073184319,128.128846962607,6916,3445
"4",2009,11.5675610887563,0.0886660737495625,130.462087691273,7346,3296
"5",2010,10.3779644299825,0.0725374064156476,143.070519650448,6091,2632
"6",2011,12.8693458727019,0.122138795372423,105.366569511849,10142,3784
"7",2012,18.278661558794,0.203227408002496,89.941911568195,18249,3903
"8",2013,10.9313422750863,0.120609237005655,90.6343705215029,6800,3510
