"","pays_expat","group_pays_cout"
"252","GABON","G9"
"257","IVORY COAST","G9"
"308","ROMANIA","G9"
"321","SENEGAL","G9"
"343","YEMEN","G9"
"495","SYRIA","G9"
"1039","FRENCH POLYNESIA","G9"
"1228","MAURITANIA","G9"
"2056","BURUNDI","G9"
"2138","LIBYA","G9"
"2752","DOMINICAN REPUBLIC","G9"
"2902","Central African Republic","G9"
"1","FRANCE","G10"
"68","SWITZERLAND","G10"
"380","IRAN","G10"
"480","NIGER","G10"
"1515","BULGARIA","G10"
"1540","DJIBOUTI","G10"
"2728","ARMENIA","G10"
"6463","PERU","G10"
"10645","TURKMENISTAN","G10"
"22102","ANTIGUA AND BARBUDA","G10"
"278","MONACO","G11"
"328","VANUATU","G11"
"538","NEW CALEDONIA","G11"
"1084","CROATIA","G11"
"1581","OMAN","G11"
"1905","ANDORRA","G11"
"3988","CYPRUS","G11"
"6236","UGANDA","G11"
"7394","MAYOTTE","G11"
"9634","HONDURAS","G11"
"339","REUNION","G12"
"1481","WALLIS AND FUTUNA","G12"
"3672","MALAWI","G12"
"7455","BRUNEI","G12"
"10019","IRAQ","G12"
"10857","MALTA","G12"
