"","pays_expat","nb_assure","autres_protheses.csv","auxiliaires_medicaux.csv","bilan_de_sante.csv","chambre_particuliere.csv","consultation.csv","cures_thermales.csv","divers.csv","fiv.csv","hospitalisation_sauf_chambre_particuliere.csv","implants_dentaires.csv","keratotomie.csv","lentilles.csv","maternite_sauf_fiv.csv","medecine_alternative.csv","montures.csv","orthodontie.csv","paradontologie.csv","petit_risque.csv","pharmacie.csv","prothese_dentaire.csv","psychiatrie.csv","soins_dentaires.csv","vaccination.csv","verres.csv","X","autres_protheses","auxiliaires_medicaux","bilan_de_sante","chambre_particuliere","consultation","cures_thermales","divers","fiv","hospitalisation_sauf_chambre_particuliere","implants_dentaires","keratotomie","lentilles","maternite_sauf_fiv","medecine_alternative","montures","orthodontie","paradontologie","petit_risque","pharmacie","prothese_dentaire","psychiatrie","soins_dentaires","vaccination","verres","sum"
"104","LAOS",430,4,69,6,4,251,0,0,0,33,0,0,13,6,0,15,10,0,208,214,9,0,79,11,18,104,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,8
"105","LATVIA",366,14,171,1,7,689,0,1,0,69,4,5,44,27,10,29,14,0,473,700,35,5,215,109,21,105,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"106","LEBANON",1799,218,1991,21,108,4903,8,8,21,797,17,5,158,84,65,199,76,2,4896,7094,270,203,1251,182,277,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","LESOTHO",12,2,2,0,0,29,0,0,0,1,0,0,0,0,0,2,0,0,25,26,0,0,18,0,6,107,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,15
"108","LIBERIA",202,3,60,3,20,142,0,2,0,61,0,0,11,0,3,12,2,0,389,187,1,17,33,16,17,108,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,6
"109","LIBYA",5816,396,1593,311,131,7422,0,29,0,1184,16,16,278,1752,104,762,96,0,4042,10136,452,103,2246,1059,89,109,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"110","LITHUANIA",337,1,19,17,1,302,0,0,0,32,0,1,20,45,0,48,2,0,213,679,9,42,143,43,0,110,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,7
"111","LUXEMBOURG",666,202,231,0,4,950,0,2,4,65,5,1,65,12,6,71,51,1,514,651,129,79,465,25,111,111,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"112","MACAU",81,40,113,2,0,302,0,0,0,11,0,0,7,0,4,3,12,0,90,147,4,6,86,10,0,112,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,9
"113","MACEDONIA",30,1,37,0,0,74,0,0,0,6,0,0,2,0,0,6,0,0,10,75,0,0,4,0,7,113,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,14
"114","MADAGASCAR",3634,322,2013,31,138,6034,3,5,0,2259,1,2,124,14,43,284,90,0,4345,6568,286,46,1509,227,548,114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"115","MALAWI",103,0,4,7,0,70,0,2,0,54,0,0,37,0,0,10,0,0,57,45,0,0,20,2,1,115,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,12
"116","MALAYSIA",24759,910,11509,1925,1190,55704,4,413,77,9547,137,100,4053,5650,2241,3886,1314,0,23113,46201,1953,1105,15072,5132,635,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"117","MALDIVES",17,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,117,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,20
"118","MALI",804,26,371,3,34,1047,0,7,0,202,0,0,19,3,10,46,9,1,875,1000,37,39,256,40,68,118,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"119","MALTA",594,20,223,22,17,826,0,0,0,88,2,0,37,10,9,50,0,0,382,1210,33,43,212,35,6,119,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6
"120","MARTINIQUE",215,5,98,0,4,264,0,0,0,74,2,0,3,26,7,30,12,3,433,316,11,0,131,15,62,120,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6
"121","MAURITANIA",1268,27,359,17,52,1091,0,0,2,168,16,2,42,49,24,97,15,0,643,1096,74,41,315,42,59,121,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"122","MAURITIUS",1741,111,668,6,88,2920,0,5,0,393,17,2,75,46,3,121,52,1,1432,2416,104,58,855,87,169,122,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
