"","pays_expat","nb_assure","autres_protheses.csv","auxiliaires_medicaux.csv","bilan_de_sante.csv","chambre_particuliere.csv","consultation.csv","cures_thermales.csv","divers.csv","fiv.csv","hospitalisation_sauf_chambre_particuliere.csv","implants_dentaires.csv","keratotomie.csv","lentilles.csv","maternite_sauf_fiv.csv","medecine_alternative.csv","montures.csv","orthodontie.csv","paradontologie.csv","petit_risque.csv","pharmacie.csv","prothese_dentaire.csv","psychiatrie.csv","soins_dentaires.csv","vaccination.csv","verres.csv","X","autres_protheses","auxiliaires_medicaux","bilan_de_sante","chambre_particuliere","consultation","cures_thermales","divers","fiv","hospitalisation_sauf_chambre_particuliere","implants_dentaires","keratotomie","lentilles","maternite_sauf_fiv","medecine_alternative","montures","orthodontie","paradontologie","petit_risque","pharmacie","prothese_dentaire","psychiatrie","soins_dentaires","vaccination","verres","sum"
"184","SWITZERLAND",28422,3515,29131,1111,1301,62041,182,249,325,15077,218,50,3599,3904,6067,3954,1836,26,62198,113743,2343,9329,19731,2977,2939,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","SYRIA",1254,46,223,43,47,1341,0,7,0,405,4,3,70,249,19,120,4,0,1091,1545,200,12,395,103,50,185,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"186","TAIWAN",1398,48,678,44,28,3419,12,15,13,361,19,4,82,108,55,193,53,0,1421,2597,132,42,901,191,48,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"187","TAJIKISTAN",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"188","TANZANIA",1636,26,470,118,24,1946,0,21,0,592,6,6,142,174,67,123,23,0,1381,2464,69,37,484,238,51,188,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"189","THAILAND",12191,416,12467,767,666,29287,0,100,74,6285,95,35,801,1108,695,1360,885,5,14710,27542,1118,977,9425,2420,395,189,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"190","THE BAHAMAS",146,9,59,3,2,388,0,0,0,2279,0,0,24,0,65,24,34,0,266,403,32,88,138,11,14,190,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,7
"191","THE GAMBIA",21,2,0,4,22,71,0,0,0,17,0,0,16,0,0,9,0,0,34,76,7,1,17,2,2,191,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,10
"192","TIMOR-LESTE",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"193","TOGO",368,24,274,0,27,673,4,6,0,197,0,0,12,1,5,42,15,0,354,1435,19,3,152,41,50,193,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5
"194","TONGA",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"195","TRINIDAD AND TOBAGO",2948,78,519,195,28,3715,0,6,0,654,3,6,150,746,30,364,170,0,1991,3625,139,287,2048,407,0,195,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
"196","TUNISIA",5735,388,3558,114,212,11618,45,23,49,1742,20,1,349,909,265,705,176,3,5354,12135,438,414,2249,648,582,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","TURKEY",3435,108,1504,125,69,5864,0,22,24,1002,61,2,135,380,251,498,301,4,3939,5487,563,211,1981,422,257,197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"198","TURKMENISTAN",1348,23,232,203,47,1576,0,6,0,217,0,4,91,387,22,182,34,0,820,1668,49,15,574,208,15,198,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"199","TURKS & CAICOS",24,5,24,0,0,78,0,0,0,13,0,0,11,0,39,2,0,0,51,266,7,13,71,18,0,199,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,11
"200","UGANDA",434,2,37,68,1,269,0,6,0,43,0,0,6,11,9,21,0,0,202,297,15,0,140,35,12,200,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,7
"201","UKRAINE",2769,121,1092,79,78,3493,4,19,27,755,35,8,134,215,120,278,169,1,3084,3738,184,89,1304,211,365,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","UNITED ARAB EMIRATES",37821,1648,15446,2063,1476,68991,7,242,158,12415,141,152,3675,10013,2696,5842,2099,5,43392,66797,3261,2262,24688,7738,1421,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203","UNITED KINGDOM",42864,2498,15709,1989,653,45502,2,131,148,128251,150,116,3227,4393,4708,5210,1663,40,159447,69680,2475,3204,25832,3316,1703,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","URUGUAY",1220,48,326,107,33,1238,0,8,0,355,2,4,66,207,16,127,49,2,1060,2858,122,112,538,219,21,204,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"205","US MINOR OUT. ISL.",12,0,0,1,0,13,0,0,0,19,0,0,0,0,0,0,11,0,15,7,0,0,7,1,0,205,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,16
"206","US VIRGIN ISLANDS",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"207","USA",52167,3499,26337,1110,580,106397,10,569,766,194740,288,90,4181,29527,8470,6037,5712,63,127343,147738,4832,8635,67094,16900,2748,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","UZBEKISTAN",126,2,11,3,2,105,0,0,0,23,0,0,0,45,0,2,0,0,70,185,5,0,49,11,9,208,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,10
"209","VANUATU",659,24,290,11,39,963,0,12,0,177,9,0,14,1,6,48,34,0,681,995,21,5,287,25,80,209,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"210","VENEZUELA",7411,273,2291,348,67,12331,0,16,47,3324,28,34,446,1942,156,867,566,2,8861,15619,657,1162,5010,1055,261,210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"211","VIETNAM",4855,110,1414,247,176,8364,0,53,15,1359,18,15,310,858,269,563,74,0,4191,7974,356,134,2490,1045,222,211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"212","WALLIS AND FUTUNA",213,5,16,0,2,167,0,0,0,47,1,0,13,22,0,17,23,0,74,151,16,2,64,7,14,212,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,7
"213","YEMEN",4111,67,874,166,220,3120,1,16,0,748,9,6,214,487,118,414,75,1,1892,3867,287,174,1221,251,101,213,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"214","ZAMBIA",487,9,163,4,0,582,0,7,0,125,8,4,43,0,19,36,21,0,448,750,31,73,291,20,26,214,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5
"215","ZIMBABWE",159,6,22,6,3,126,0,3,0,58,0,0,6,0,4,8,7,0,60,97,1,70,57,0,0,215,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,8
"216","FRANCE",89182,9872,60122,1057,3618,129749,156,753352,468,4864491,583,135,4943,5060,5786,9157,2662,169,105375,183109,6840,14103,40585,4990,4666,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
